m,T,N,noise,Sample Entropy Position,Sample Entropy Velocity,Sample Entropy Acceleration,Std Position,Std Velocity,Std Acceleration
2,0.01,100,1000,0.028514464822002074,0.05699914332366639,0.6475600358506365,0.03535053966110545,0.0752240303981508,0.2655115019396059
2,0.01,100,2000,0.0221217836594622,0.04800071998363488,0.629628333458523,0.029339537834774967,0.06098597619209105,0.186650429269662
2,0.01,100,5000,0.024355157015822693,0.06895268206147766,0.6788526016089298,0.029263541698775646,0.07883509765146277,0.23440537827550445
2,0.01,100,10000,0.026576312926958664,0.07046654668770629,0.7094726656861124,0.03450403674425359,0.07328735198884045,0.24004813248161475
2,0.01,500,1000,0.0054546812105536,0.011029129273905036,0.2989395436962273,0.006548797092855906,0.013275877577162214,0.13958274830215425
2,0.01,500,2000,0.005213541347558465,0.009839046097129182,0.3012903581778649,0.007270162581452872,0.013891064806284676,0.1525929261411047
2,0.01,500,5000,0.004607676681693895,0.01109365885471605,0.2994449826845981,0.007105778599977224,0.014758076978224509,0.13447931419257478
2,0.01,500,10000,0.00415734990396385,0.010502365454535987,0.3550596757108036,0.00699982033699536,0.01548839919786123,0.1574245822216394
2,0.01,1000,1000,0.002374710197941716,0.006479487585381459,0.2505285914402546,0.0025090796601166727,0.007626530471375441,0.13385203922371863
2,0.01,1000,2000,0.003193231488610147,0.005756596162147664,0.17612370865511326,0.004235211673218153,0.005779200290973556,0.09099721932859328
2,0.01,1000,5000,0.0022296704275666544,0.005586070174172713,0.21748114390921378,0.003075021318884998,0.0066843857457137305,0.11068371232660254
2,0.01,1000,10000,0.0026845653236988393,0.006380769502873763,0.21135383759335918,0.003269258100560401,0.007639102411751203,0.095234487686018
2,0.01,2000,1000,0.0011170949631465071,0.0019305217618345197,0.15288038251602434,0.0013781416418408667,0.0028182848158534407,0.07925642402286444
2,0.01,2000,2000,0.0010496972061728631,0.002100123320152514,0.14554689022875372,0.0014452972931454124,0.003011138564671817,0.0807189695773556
2,0.01,2000,5000,0.0012481144688131613,0.0029232046006425656,0.1483964318196691,0.001682709437554282,0.0028257638901024607,0.07988969152229246
2,0.01,2000,10000,0.0010416793027683679,0.0018786902497275962,0.14282166707649682,0.0011064187154651926,0.0025203702979781084,0.06925551482442069
2,0.1,100,1000,0.016172107254920964,0.0542681126267496,0.6309837882315691,0.018123412113528144,0.07721690461608265,0.23125817962150833
2,0.1,100,2000,0.03210426284499919,0.06025294643898615,0.6606773611237672,0.04084690843483522,0.07407255371849428,0.21571567293629884
2,0.1,100,5000,0.029136802531664393,0.05775354361567708,0.6603494320061815,0.04282532827769904,0.08816640973520276,0.2592955989606322
2,0.1,100,10000,0.028027879520009624,0.06990011281865115,0.6848929504244856,0.039009455040920356,0.07534763528567782,0.24578868375566235
2,0.1,500,1000,0.0029705587458126095,0.009231801283389384,0.33106700620920065,0.001955209537323214,0.01218116056949511,0.15226517891563712
2,0.1,500,2000,0.0054097186271206766,0.011805067281500388,0.3087516657310929,0.00927208014965815,0.01868035505808684,0.14941183527563223
2,0.1,500,5000,0.0056902069517714045,0.012410602988418569,0.35245767026039426,0.00760285635960875,0.012571752183870685,0.1514249038160232
2,0.1,500,10000,0.003932547694975498,0.010086628474308199,0.31888579704970915,0.0035631491768096345,0.011621354247682798,0.1315115067701923
2,0.1,1000,1000,0.0027213547204831745,0.005388971594933401,0.23516308368769118,0.003369562811940046,0.0052003973652321595,0.10697272190495266
2,0.1,1000,2000,0.0015425417379388256,0.004467165657938196,0.22615862249911672,0.0011945784438988486,0.005308269238697186,0.10970456485717428
2,0.1,1000,5000,0.0023424015444274203,0.004585899389524316,0.18023695620379937,0.0031245036471594986,0.00452332714410618,0.09505239443166606
2,0.1,1000,10000,0.002979041014816246,0.004021329101439872,0.19850955329061812,0.0042157596470198105,0.004447786784722538,0.11271738991022386
2,0.1,2000,1000,0.0010527226440659749,0.002280421249323418,0.15167546239702903,0.0011931629753556946,0.0031091572884763812,0.07443051185776592
2,0.1,2000,2000,0.0011022296339874044,0.0031738310513642165,0.14375814203474416,0.001374230249436752,0.003447375014757663,0.06731302528618624
2,0.1,2000,5000,0.001208986509790239,0.002053698724086991,0.13489442250706202,0.001468389310760074,0.002287013376485105,0.07072053545848786
2,0.1,2000,10000,0.0011020190824450877,0.0026390124720484785,0.13882787007952996,0.001405839147418452,0.0028287138656027263,0.05777035633451006
2,0.5,100,1000,0.026172779852250954,0.052373607773861075,0.6449214836179125,0.0429471581420163,0.06394105873106362,0.2461613671196734
2,0.5,100,2000,0.029320266913299458,0.06435472473770319,0.6555037608204498,0.040790615884431204,0.07576626381839952,0.2272292205259537
2,0.5,100,5000,0.02185537345000386,0.06156321051707195,0.6730221417270239,0.029423202404980402,0.07769611059207278,0.24193978517984666
2,0.5,100,10000,0.024201265433918505,0.05093014930688126,0.6260065744232596,0.02871979610212725,0.06968660884985366,0.21721728656801959
2,0.5,500,1000,0.005355484755406481,0.010048103975053825,0.35306644722205477,0.006840154907791569,0.011640249202505419,0.1524351557958066
2,0.5,500,2000,0.005338030116893896,0.01185983251613174,0.3539021414197175,0.006429077645094797,0.011337128621690621,0.1591997808938808
2,0.5,500,5000,0.004428587861910604,0.00903708672465052,0.297583822390222,0.005297576329731253,0.010909753126514113,0.13708297179810727
2,0.5,500,10000,0.0053709808770743585,0.008685876052835124,0.28914782298549896,0.007634394056957251,0.01031729426201352,0.13654386966914364
2,0.5,1000,1000,0.002376291790070617,0.004726378489982956,0.21453712697903754,0.003103600998371073,0.007807453822436375,0.11362931525821178
2,0.5,1000,2000,0.002553632551524778,0.0057510605767053646,0.20649808719918308,0.003833534663669675,0.00696896607330851,0.09583989264651249
2,0.5,1000,5000,0.0023563883742953274,0.005524753824226386,0.2102410188044999,0.0025098021923512506,0.005259779517194955,0.1090115881209944
2,0.5,1000,10000,0.0022338335425425766,0.0043742520776477965,0.23846785076329471,0.002603177923156923,0.004863156068951051,0.11595038889984559
2,0.5,2000,1000,0.0011443601811879423,0.0020849182292980266,0.154666829247888,0.001403244924506325,0.0024397443027996905,0.0679989849458505
2,0.5,2000,2000,0.0010880665630175026,0.002209069284335367,0.16007912351465517,0.0012583307949195455,0.0024858503436688147,0.08906381535162859
2,0.5,2000,5000,0.0010851365237085479,0.002100660167427767,0.15223417998257638,0.001481739726666421,0.0025691141689787225,0.07088461941245325
2,0.5,2000,10000,0.0010783629542550784,0.0021802107239139892,0.1415513424412662,0.0011320754352979138,0.0024072780599545705,0.06609823406618368
2,1.0,100,1000,0.024287612069251688,0.035454914520027955,0.6833480212732138,0.03432975950641649,0.0423262056181974,0.22862845441078397
2,1.0,100,2000,0.026884852061046606,0.05216077616559299,0.6001063546338297,0.03931691404696642,0.06631350342742491,0.22321107939642806
2,1.0,100,5000,0.018678393203707674,0.05076589850382162,0.6680112188584174,0.019844395552718698,0.07467353187672866,0.2571100825450508
2,1.0,100,10000,0.01855146748166558,0.051712834811070224,0.6573162335985251,0.019948990907657307,0.0669696012723361,0.22736349690769653
2,1.0,500,1000,0.004505580077810538,0.009947575957591558,0.299530622775645,0.00510116241038702,0.012687739194695513,0.13553987358875433
2,1.0,500,2000,0.004349683105665598,0.009591764090201727,0.32405433960308455,0.00521246348010216,0.011253165193180809,0.14344466314797116
2,1.0,500,5000,0.004576081577142498,0.007588976652627883,0.32904701158118355,0.0057709532236865325,0.00845981838172456,0.13292360827485747
2,1.0,500,10000,0.0054553464832689325,0.008936530267225155,0.3193385816986665,0.006221604116777963,0.010064511852094418,0.10908724273680047
2,1.0,1000,1000,0.002901660087984691,0.005241233906974243,0.22138197729889686,0.004445999188231648,0.007449243530679908,0.1106779549626823
2,1.0,1000,2000,0.0020824154373694738,0.004365206197929653,0.19627148344826711,0.0022574497643937765,0.005057012832704017,0.10864905797949759
2,1.0,1000,5000,0.0024573556980916917,0.004943163950909446,0.2088492367361589,0.003026678747693336,0.006378351189522991,0.09073640047526679
2,1.0,1000,10000,0.0020449139944072204,0.003999604967936229,0.20348385330328866,0.0030784274226215063,0.004424091825021429,0.09657556094355806
2,1.0,2000,1000,0.0008563223542706577,0.0020560355172543816,0.14387700992272762,0.0009222847124977166,0.0028304580491230916,0.05768391647508692
2,1.0,2000,2000,0.0011480406180539805,0.00238019758587603,0.1478017459336734,0.0013026581324086194,0.0026077685076179853,0.0761568896604512
2,1.0,2000,5000,0.0012531069595172644,0.002691050860287667,0.16032990932383037,0.0019372759662831518,0.003982248236818247,0.08505990190069052
2,1.0,2000,10000,0.001159376718658497,0.0023674426078800974,0.13687034401714424,0.0014082061110169573,0.0024047881486446918,0.07043864004431502
2,10.0,100,1000,0.03180524716981688,0.0815036604383243,0.7357724595223594,0.05352252378697146,0.10343678681896416,0.2552705732023698
2,10.0,100,2000,0.016929180136033367,0.048815385369399084,0.6234471588088415,0.020193676667278268,0.07422500254134405,0.2387803129590027
2,10.0,100,5000,0.02722824332899371,0.054970322284434034,0.6406647388630603,0.0336515243095953,0.06498221706630385,0.22594252698063777
2,10.0,100,10000,0.024291733704049193,0.06814913846540813,0.645449074392957,0.037852426466534826,0.07431023828032733,0.2183488853399894
2,10.0,500,1000,0.005536992112378692,0.012967760189637224,0.3379221567880954,0.009855516366631597,0.016039718608180462,0.14810124259581703
2,10.0,500,2000,0.0045976331285614725,0.01637931852276439,0.3243179877114559,0.006351321085034185,0.017492440014290234,0.14487426042613266
2,10.0,500,5000,0.004151695090077874,0.009479714618239814,0.31592089556322756,0.0049201391184624035,0.01202175243222729,0.14329750695732563
2,10.0,500,10000,0.003978636309083837,0.01049385363075566,0.33488325724324974,0.004535950651851826,0.011191837052827594,0.12926542894346896
2,10.0,1000,1000,0.002227065474084925,0.005137615320587128,0.21669095762660415,0.002520537458058047,0.005898048617005515,0.10380686257059053
2,10.0,1000,2000,0.0020241752665135834,0.0035282645841887,0.21994557282890603,0.0026373421579545197,0.0042082619576971824,0.08814213856167755
2,10.0,1000,5000,0.0024043216669729695,0.0038119370877572156,0.2008725436803009,0.003117871883524666,0.003928025176972873,0.10028461777033473
2,10.0,1000,10000,0.0020367621759659737,0.004076743347261572,0.2280530737747355,0.0027375815681580174,0.004866623276844924,0.12327804106722341
2,10.0,2000,1000,0.0013265180069916489,0.0021530588256022283,0.15165940254526927,0.0016155427568674897,0.0025191578179939093,0.0811678310936568
2,10.0,2000,2000,0.0011955852438660557,0.002897886755919803,0.13592543009895072,0.001288101722882202,0.0035892841828653295,0.06677994920674185
2,10.0,2000,5000,0.0014453849939595135,0.0029918037305382344,0.15209785742714987,0.0018055750743824223,0.0031048916036542583,0.06902035121102051
2,10.0,2000,10000,0.0013001731686190364,0.0021820535874237184,0.1506706844205721,0.0017032010275785457,0.0024074074068089458,0.08378825261672113
3,0.01,100,1000,0.02627529860294796,0.04608958499607767,0.608633602825015,0.032733981063456805,0.05123456061321472,0.19244892548736228
3,0.01,100,2000,0.024564847897097994,0.05530357545323807,0.5967494449412943,0.03022439370414326,0.0570408759413602,0.20626735284890926
3,0.01,100,5000,0.028375789045936135,0.05602047169826893,0.5571892990775104,0.036661856078770844,0.07122923433661953,0.194738709507207
3,0.01,100,10000,0.03083661442065451,0.05650980939910979,0.6335204307529628,0.044032534316104,0.06723635732011167,0.2559571823413246
3,0.01,500,1000,0.005400236815439591,0.010268027073763312,0.3064593729573267,0.007856752318212335,0.011573907161251151,0.1375222030820367
3,0.01,500,2000,0.004398281882847463,0.008853904687469001,0.34723693439560277,0.005677612232877091,0.007898191854229275,0.17049490789203312
3,0.01,500,5000,0.005133737236635915,0.010652168958768384,0.3490961832541208,0.00724115704849892,0.012434019749798055,0.1493459558832766
3,0.01,500,10000,0.005254059713808573,0.009079112871849872,0.28123465013304805,0.007191003290153002,0.013526927728764113,0.12332989278087683
3,0.01,1000,1000,0.0018265504814718972,0.005819651590809862,0.2523558512581212,0.0028593110498970594,0.006918070940734945,0.10545590078859686
3,0.01,1000,2000,0.0016635471391369435,0.0021800289047662915,0.19083632312467347,0.0017102877139196127,0.00287823658551075,0.08236825117759906
3,0.01,1000,5000,0.0014852620268306022,0.004234968732749535,0.20628549875783844,0.0015031865208341398,0.00493332481169941,0.11453842369633734
3,0.01,1000,10000,0.0026002737637017275,0.004362270488966961,0.20815475211642462,0.002934112640452164,0.004536771298727888,0.10245594879731407
3,0.01,2000,1000,0.0013666762166843886,0.0023000172303737666,0.14869857851019633,0.0018257287854203585,0.0025053261777437837,0.07328834580740921
3,0.01,2000,2000,0.0012576249484843524,0.0024693810544539454,0.13180705281535718,0.0012791456842634337,0.00280442987461233,0.05390529674936292
3,0.01,2000,5000,0.0008707687672946413,0.0022891338666365395,0.1331561658435389,0.0008758676613039474,0.003038311211448386,0.07171955085989092
3,0.01,2000,10000,0.0009134834349335891,0.002786664954384869,0.14379594852159908,0.0013785664186147628,0.0037776593855078306,0.06996800896074652
3,0.1,100,1000,0.027384262651997882,0.05363270862343492,0.5738953212496937,0.035026187093768084,0.05908272592288278,0.19453204228051046
3,0.1,100,2000,0.01494035683765648,0.031253376951298345,0.5826814275892104,0.009439032463433996,0.039463950989703185,0.2166671431930397
3,0.1,100,5000,0.0312249717684262,0.05341376335407897,0.6201304490288093,0.038083765302792255,0.06416055735384887,0.17123943014332318
3,0.1,100,10000,0.022560648632670315,0.05625452954108343,0.5602501620398417,0.02739276749245881,0.0697525654407985,0.1946443026692135
3,0.1,500,1000,0.0054627208458318584,0.010931345000317609,0.3321436213156609,0.005920198908356063,0.011038100605759807,0.1319031053216525
3,0.1,500,2000,0.006088990425222704,0.013192325822374586,0.28600879161853926,0.00611496292334388,0.015848506994069214,0.12610451984807988
3,0.1,500,5000,0.003947012820788743,0.007099234736708015,0.3524555485230264,0.004880262628745018,0.008069702262988095,0.16298860728041129
3,0.1,500,10000,0.006159729173977645,0.009584057936619697,0.3230090631719814,0.007406030607800849,0.01218433320418186,0.18211047415181145
3,0.1,1000,1000,0.002939642578482177,0.006735623910132263,0.2237880977550368,0.0040469663451052915,0.007784512276599658,0.11745471462384151
3,0.1,1000,2000,0.0026592743909675254,0.003980768710977623,0.20656288143578258,0.003299808114265989,0.005825446728020141,0.10420221376335904
3,0.1,1000,5000,0.001971752103207962,0.004347330118253685,0.23786866011104243,0.002505152228506273,0.00520743093825864,0.11682720330841521
3,0.1,1000,10000,0.0031979196861824087,0.005948132908135908,0.19878508475882156,0.004201583638524781,0.006680684389833327,0.0969335389175623
3,0.1,2000,1000,0.0011178294717879521,0.002594661193300699,0.14540272151151248,0.0017697975636096692,0.003120130601872448,0.07482875629885459
3,0.1,2000,2000,0.0014698116706767697,0.0030819112783329657,0.1559202849522746,0.0025773762695320943,0.003450185050259822,0.07689221038285947
3,0.1,2000,5000,0.0009222043001660385,0.0023401219919608044,0.14052547132729715,0.0012298078823219523,0.0027704294844903563,0.06760500296482785
3,0.1,2000,10000,0.001430474652238388,0.0021084701117536266,0.12637061032297964,0.0016793326331632245,0.002024648864567477,0.059790947399122336
3,0.5,100,1000,0.024112737275414804,0.03562215121541414,0.5976282053355714,0.029780627240820017,0.044216380941733864,0.20733373962958843
3,0.5,100,2000,0.015125030231149006,0.0447248644622841,0.5419854836829079,0.0106390223126173,0.05759280707394977,0.22504183929888708
3,0.5,100,5000,0.015503450177099056,0.041682755980723754,0.6672598921424218,0.011926862646478383,0.04616609855356443,0.27214074550875034
3,0.5,100,10000,0.019746056701676482,0.04439615605330789,0.5668548487889061,0.018778377962727324,0.06348681886498696,0.21777616310330344
3,0.5,500,1000,0.003889653229498078,0.009157545951875462,0.35724067724744735,0.005239547925878922,0.013316123807634465,0.15825933860953673
3,0.5,500,2000,0.0046190587412551195,0.009513899882230557,0.3417619954133362,0.007051887052932672,0.011865455233365527,0.146918366022912
3,0.5,500,5000,0.00570702118439873,0.013514078601400486,0.3323260177882728,0.007185876259766035,0.01608980246869507,0.1471412469181652
3,0.5,500,10000,0.0034226482811239595,0.007416192353115259,0.3423999217186676,0.005824984043960025,0.009266851031153696,0.1610775095533877
3,0.5,1000,1000,0.0029357803214270627,0.005363638359078025,0.19952905997853826,0.0041244987455618725,0.007624101418078572,0.08879825010410805
3,0.5,1000,2000,0.002557604916108476,0.004717675026977547,0.223035906532631,0.0033579736774493395,0.006680987474809811,0.11863035815209846
3,0.5,1000,5000,0.002332835048914465,0.004666839340885989,0.20575038899115033,0.00272371644157298,0.0048325655420794035,0.0984652148973446
3,0.5,1000,10000,0.0028158015220379855,0.00631477540266634,0.20597826816345907,0.0033894340693572432,0.008384294243107247,0.11548152798550934
3,0.5,2000,1000,0.0009154709238638339,0.002157638003222779,0.14922931834642117,0.0013497951993325535,0.0024203182938631012,0.08367888933633826
3,0.5,2000,2000,0.0010519403051861666,0.0018497892579242066,0.13912574368152064,0.0013208126261489146,0.0022593721215213836,0.06997200921014272
3,0.5,2000,5000,0.0012923737042315022,0.00248829998953186,0.14616954816657718,0.0013761513870688424,0.0029533695697739368,0.0842093605241584
3,0.5,2000,10000,0.0014338470746197698,0.0021398962426350753,0.12857099109738235,0.0019004095887925493,0.002180137908371164,0.07205228689380855
3,1.0,100,1000,0.02305412566526631,0.04044945364688316,0.5948546814337569,0.025386434832322592,0.04495143635511426,0.21358474922618564
3,1.0,100,2000,0.02251526319150013,0.051634370506823686,0.6150285743273943,0.0294241384487424,0.055021172723519925,0.24139496299223168
3,1.0,100,5000,0.019477706568105702,0.0404385398395922,0.5858772949800141,0.023109261778128203,0.05205336616051154,0.18402638963166804
3,1.0,100,10000,0.021797414910223852,0.049219674781953035,0.5946568639247474,0.024103974597785065,0.05835799042117002,0.21897216784791082
3,1.0,500,1000,0.0041332159870333006,0.0147424938262225,0.33737713887582843,0.004285602343707356,0.019203692909702332,0.12904603440358442
3,1.0,500,2000,0.005552287089870461,0.01053901101122086,0.3134647937505073,0.0077649995898283,0.011375899066081475,0.15353310865909106
